Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,0,0,0,192,1,0
1,RE_PV,0,0,0,192,1,0
2,RE_WIND,0,0,0,192,1,0
3,PP_CO2,0,0,0,192,1,0
4,BESS,0,0,0,192,1,0
5,EL_to_HTH,0,0,0,192,1,0
6,EL_to_NH3,0,0,0,192,1,0
7,NH3_Storage,0,0,0,192,1,0
8,NH3_to_EL,0,0,0,192,1,0
9,NH3_to_HTH,0,0,0,192,1,0
10,EL_Demand,0,0,0,192,1,0
11,HTH_Demand,0,0,0,192,1,0
12,RE_PV,1,1,0,192,1,0
13,RE_WIND,1,1,0,192,1,0
14,PP_CO2,1,1,0,192,1,0
15,BESS,1,1,0,192,1,0
16,EL_to_HTH,1,1,0,192,1,0
17,EL_to_NH3,1,1,0,192,1,0
18,NH3_Storage,1,1,0,192,1,0
19,NH3_to_EL,1,1,0,192,1,0
20,NH3_to_HTH,1,1,0,192,1,0
21,EL_Demand,1,1,0,192,1,0
22,HTH_Demand,1,1,0,192,1,0
23,RE_PV,2,2,0,192,1,0
24,RE_WIND,2,2,0,192,1,0
25,PP_CO2,2,2,0,192,1,0
26,BESS,2,2,0,192,1,0
27,EL_to_HTH,2,2,0,192,1,0
28,EL_to_NH3,2,2,0,192,1,0
29,NH3_Storage,2,2,0,192,1,0
30,NH3_to_EL,2,2,0,192,1,0
31,NH3_to_HTH,2,2,0,192,1,0
32,EL_Demand,2,2,0,192,1,0
33,HTH_Demand,2,2,0,192,1,0
34,NH3_Transport,1,2,0,192,96,108
35,EL_Transport,1,2,0,192,1,0
