Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,EL_Demand,0,0,0,3072,1,0
1,EL_to_HTH,0,0,0,3072,1,0
2,HTH_Demand,0,0,0,3072,1,0
3,BESS,0,0,0,3072,1,0
4,EL_to_NH3,0,0,0,3072,1,0
5,NH3_to_EL,0,0,0,3072,1,0
6,NH3_Storage,0,0,0,3072,1,0
7,NH3_to_HTH,0,0,0,3072,1,0
8,RE_PV,0,0,0,3072,1,0
9,EL_to_NH3,0,0,0,3072,1,0
10,RE_PV,1,1,0,3072,1,0
11,RE_WIND,1,1,0,3072,1,0
12,BESS,1,1,0,3072,1,0
13,EL_to_NH3,1,1,0,3072,1,0
14,NH3_to_EL,1,1,0,3072,1,0
15,NH3_Storage,1,1,0,3072,1,0
16,HTH_Demand,1,1,0,3072,1,0
17,NH3_to_HTH,1,1,0,3072,1,0
18,EL_Demand,1,1,0,3072,1,0
19,EL_to_HTH,1,1,0,3072,1,0
20,RE_PV,2,2,0,3072,1,0
21,RE_WIND,2,2,0,3072,1,0
22,BESS,2,2,0,3072,1,0
23,EL_to_NH3,2,2,0,3072,1,0
24,NH3_to_EL,2,2,0,3072,1,0
25,NH3_Storage,2,2,0,3072,1,0
26,NH3_to_HTH,2,2,0,3072,1,0
27,EL_Demand,2,2,0,3072,1,0
28,HTH_Demand,2,2,0,3072,1,0
29,EL_to_HTH,2,2,0,3072,1,0
30,EL_Transport,0,1,0,3072,1,0
31,NH3_Transport,0,1,0,3072,96,108
32,EL_Transport,1,2,0,3072,1,0
33,NH3_Transport,1,2,0,3072,96,108
34,EL_Transport,2,0,0,3072,1,0
35,NH3_Transport,2,0,0,3072,96,108
