Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,EL_to_HTH,0,0,0
1,EL_to_NH3,0,0,0
2,NH3_Storage,0,0,0
3,NH3_to_EL,0,0,0
4,EL_Demand,0,0,0
5,NH3_to_HTH,0,0,0
6,HTH_Demand,0,0,0
7,RE_PV,0,0,0
8,RE_WIND,0,0,0
9,BESS,0,0,0
10,PP_CO2,0,0,0
11,CO2_Budget,0,0,3
12,EL_to_HTH,1,1,0
13,EL_to_NH3,1,1,0
14,NH3_Storage,1,1,0
15,NH3_to_EL,1,1,0
16,EL_Demand,1,1,0
17,NH3_to_HTH,1,1,0
18,HTH_Demand,1,1,0
19,RE_PV,1,1,0
20,RE_WIND,1,1,0
21,BESS,1,1,0
22,PP_CO2,1,1,0
23,NH3_Transport,0,1,0
24,EL_Transport,0,1,0
